mId,mmCode,mCode,mName,cId,cName,cType,cDetail,cHeight,cLat,cLot
3,2211050100,427700101,가리왕산,344,어은골 유래 알림판,문화자원,-,472.597,37.42662,128.564026
4,1704060100,317100101,가지산,379,백운산 백련사,문화자원,-,388.398,35.586189,128.996597
4,1704060100,317100101,가지산,381,석남사 승탑(스님유골 봉안),문화자원,보물 369호,349.133,35.621593,129.032608
4,1704060100,317100101,가지산,382,가지산 석남사,문화자원,-,331.666,35.618317,129.038895
4,1704060100,317100101,가지산,383,석남사,문화자원,-,356.367,35.62085,129.032364
4,1704060100,317100101,가지산,384,부도,문화자원,-,325.656,35.618855,129.036606
4,1704060100,317100101,가지산,472,삼층 석가 사리탑,문화자원,.부처님 진신사리,367.68,35.621006,129.032303
4,1704060100,317100101,가지산,473,석남사 삼층석탑,문화자원,울산 유형문화재 제5호,365.265,35.621029,129.031998
4,1704060100,317100101,가지산,481,석남사 삼층석가 사리탑,문화자원,부처님 진신사리,357.681,35.620865,129.032196
4,1704060100,317100101,가지산,531,백연사,문화자원,한국불교,376.075,35.586239,128.996658
5,2140140100,414800101,감악산,585,양주황방리 느티나무,문화자원,천연기념물 제 278호,149,37.922352,126.995476
5,2140140100,414800101,감악산,668,조소앙선생 기념관,문화자원,"삼균주의 자주국가를 꿈꾸웠던 독립운동가.
삼균주의 : 정치,경제,교육의 균등제도와 개인과 개인, 민족과 민족, 국가와 국가간의 호혜평등으로 민주국가를 건설하자는 주의",147,37.921597,126.995453
5,2140140100,414800101,감악산,669,보리암과 돌탑,문화자원,조그만 암자임. 커피등 판매,514,37.938065,126.963081
5,2140140100,414800101,감악산,670,봉암사,문화자원,조계종 소속,278,37.952412,126.97126
5,2140140100,414800101,감악산,671,미타암,문화자원,"암자
",151,37.95779,126.964149
5,2140140100,414800101,감악산,707,감로사,문화자원,-,0,37.929081,126.984184
5,2140140100,414800101,감악산,718,테마공원 설립지,문화자원,-,0,37.910183,126.975731
5,2140140100,414800101,감악산,790,충혼탑,문화자원,6.25전쟁시 북한군의 잔류병들과 반공청년들이 대한의열단감악산 결사대와 유격전에 혁혁한 공을 세웠으나 희생자도 많았다. 그들의 숭고한 뜻과 영혼을 달래고저 건립.,111,37.944664,126.942245
5,2140140100,414800101,감악산,794,동광정사,문화자원,사찰,0,37.935238,126.981415
5,2140140100,414800101,감악산,802,신암사절터,문화자원,신암사는16세기 문헌에서 처음확인된다. 신증동국여지승람에 감악산에 신암사와 운계사가 있다고 하였다. 현재는 절터만 남아있다.,473,37.936295,126.965904
5,2140140100,414800101,감악산,803,마애불좌상,문화자원,좌상의 형식은 불신 주변에 두광과 신광이 있고 아래에는 앙련과 복련이 이중으로 되어있는 연화대좌를 갖추고 있는 마애불좌성이다.,420,37.935017,126.96521
5,2140140100,414800101,감악산,823,범륜사,문화자원,"범륜사에는 동양 최초 백옥석 관음상이 모셔져 있다. 신장 7m, 좌대 4m.",0,37.938309,126.952019
5,2140140100,414800101,감악산,865,남선굴,문화자원,고려말 남을진은 이성계가 벼슬을 권하자 이 석굴속으로 들어가 석굴밖으로 나오지 않고 생을 마쳐 신선이 되었다하여 남선굴이라 부른다.,559,37.940414,126.972969
5,2140140100,414800101,감악산,866,사찰,문화자원,율림원. 태고종,0,37.918846,126.963165
5,2140140100,414800101,감악산,882,윤림선원,문화자원,조계종,219,37.91877,126.963371
5,2140140100,414800101,감악산,883,숯가마터,문화자원,숯을 구워내던 곳으로현재는 흔적만 남아 있다.,409,37.934753,126.965622
6,2607102300,-,강천산,967,절의탑,문화자원,-,258.753,35.398003,127.055962
6,2607102300,-,강천산,968,송낙바위,문화자원,-,595.687,35.390274,127.035278
6,2607102300,-,강천산,969,천년사랑 거북바위,문화자원,-,265.147,35.393333,127.045906
6,2607102300,-,강천산,970,강천호,문화자원,순창이 참좋다!,310.727,35.393559,127.043846
6,2607102300,-,강천산,971,순창 삼인대,문화자원,"삼인대는 1506년 (연산군12)중종반정 이후 폐위된왕비 신씨의 복위를 위하여 세 사람(담양부사 박상, 순창군수 김정, 무안현감 유목)이 官印을 걸고 상소를 올리기로 결의한 곳이라고 한다.",260.446,35.397793,127.056122
6,2607102300,-,강천산,972,관광자원,문화자원,강천계곡 사방댐,246.294,35.39587,127.05188
6,2607102300,-,강천산,975,아래용소,문화자원,깊은 소,210.8,35.400711,127.057373
6,2607102300,-,강천산,976,강천산 찬물내기,문화자원,예로부터 찬물내기는 물맛이 좋고 여름에는 발을 담그지 못할정도로 시원하고 겨울에는 김이 모락모락 피어 오르는 따뜻한 물이 솟아 오르는 샘물로 옴등 피부병을 낫게하는 효과가 뛰어나다고 전해 내려오고있다.강천산 찬물내기는  관광객의 옛 고향의 그리움과 어린시절,264.594,35.393066,127.04557
6,2607102300,-,강천산,1088,병풍폭포,문화자원,"병풍바위를 비단처럼 휘감고 있는 모습을 띄었다고하여 병풍폭포라고 이름 지어졌다. 그 규모가 높이 40미터, 폭 15미터, 떨어지는 물의 양이 분당 5톤 정도이다. 전설에 의하면 이 폭포가 감싸고 있는 병풍바위 밑을 지나온 사람은 그 어떤 죄를 지은 사람이건 모두 깨끗해",201.576,35.407795,127.065849
6,2607102300,-,강천산,1089,강천사,문화자원,강천사는 887년 도선국사가 창건했다고 한다. 고려시때 때 덕현스님이 오층석탑과 12개 암자를 창건하여 사세가 확장되고 조선시대 때 신말주의 부인 설씨의 시주로 중창되었으며 임진왜란때 소실되었다 한다. 영조때의 기록에 보면 강천사는 많은 스님이 대거찰이었다 한다,255.957,35.398407,127.055931
6,2607102300,-,강천산,1090,강천산 군립공원,문화자원,순창군 강천산은 1981.1.7일 전국 최초 군립공원 1호로 지정되었으며  사람들은 광덕산은 몰라도 강천산은 잘 알고있는데  강천산 이름은 강천사라는 절 이름에서 유래 되었다고한다.산세가 웅장하거나 높은 편은 아니지만 계곡이 깊어 사시사철 맑은 물이 흐르고수려한 산,194.126,35.40871,127.066719
6,2607102300,-,강천산,1091,댐 사방사업,문화자원,"2004년도 전라북도산림 환경 연구소,시공사:순창군 산림조합",262.999,35.392574,127.045494
6,2607102300,-,강천산,1117,구장군폭포,문화자원,"군립공원 강천산 입구에서 강천사, 현수교를 지나 강천 제2저수지 조금 못 미치면 120여m 높이의 웅장한 구장군 폭포가 나타나 관광객들에게 좋은 볼거리를 제공하고 있다. 풍수객들에 의하면 음양의 조화를 이룬 명소라며 극찬을 아끼지 않는다.
전설에는 마한시대 혈맹으",282.572,35.393951,127.04715
6,2607102300,-,강천산,1118,자연경관,문화자원,구장군폭포와 계곡에 조화,278.697,35.39423,127.047295
6,2607102300,-,강천산,1123,맨발 산책로,문화자원,강천사문까지 이어지는 맨발 산책로.노면은 어린아이들도 맨발로 다닐수있을 정도로 노면관리가 잘되어있으며 앉아 쉬면서 계곡물로 발 씻을수있는 공원도 조성 되어있음.,199.879,35.407478,127.065437
6,2607102300,-,강천산,1146,전망대,문화자원,전망대 팔각정.암릉 위에 지어진듯 바닥은 온통 암릉구간이다.산세가 아름다울 뿐아니라전체가 아산암봉으로 되어있으며 세 신선이 내렸다는 곳에 삼선대(정자)가 있다.강천사 삼인대를 한눈에 바라보며 사방으로 시야가 거침이 없으니 여기가 바로 전망대다.,454.003,35.394203,127.055717
6,2607102300,-,강천산,1165,옥천구우,문화자원,아홉명의 벗들이 깊은 우정을 일제감정기시대에 새겨놓으셨다고 전해짐,229.078,35.400707,127.057335
6,2607102300,-,강천산,1166,아랫용소,문화자원,아래 사진 참조,228.623,35.400841,127.057426
6,2607102300,-,강천산,1172,천우폭포,문화자원,야간개장하면 조명을 비추어 볼거리 제공,223.32,35.402306,127.05854
6,2607102300,-,강천산,1173,부도전,문화자원,돌다리를 건너면  인적드문 쉼터 공원이 나오며 스님들에 사리를 보관되어있는 4개의 부도전이 자리하고있다.,221.195,35.402557,127.059311
6,2607102300,-,강천산,1174,거라시 바위,문화자원,이곳은 예로부터 문전걸식 구걸해온 걸인들이이 굴앞에서 자리늘 깔고 앉아 지나가는 사람들에게 동냥을 받아 강천산 스님에게 시주를하고 부처님께 복을 빌었다는 나눔을 실천햏던장소로 전해오고있어 거라시바위(굴) 또는 걸인바위라 부른다,222.522,35.40329,127.060471
6,2607102300,-,강천산,1175,어미바위와 아비바위,문화자원,하늘에서 살다가 천년부부애를 맺어보려 인간 세상에 내려왔다는 선남선녀는 큰 계곡을 사이에 두고 서로를 바라만 보다 끝내는 부부의사랑을 이루지 못하고 바위로 변해 버렸다는 어미바위와 아비바위의 얽힌 전설이 내려오고있다.,219.425,35.403713,127.06086
6,2607102300,-,강천산,1193,비룡폭포,문화자원,마치 아홉마리의 용이 암벽을 타고 꼬리치며 하늘로 오르는 모습이다 비룡폭포라 부르고또한 구룡폭포라 부른다.,305.062,35.390362,127.042824
6,2607102300,-,강천산,1207,발 씻김 터,문화자원,족욕 장,176.9,35.407326,127.065208
6,2607102300,-,강천산,1218,삼인대,문화자원,3명의 충신,219.7,35.397701,127.056076
6,2607102300,-,강천산,1228,거라시바위,문화자원,걸인이 절에 시주하기위해 동냥,194.7,35.403324,127.060516
6,2607102300,-,강천산,1229,투구봉,문화자원,장군의 투구를 닮음,186.4,35.405804,127.063393
6,2607102300,-,강천산,1269,강천문,문화자원,사찰 정문,199.2,35.399883,127.056885
6,2607102300,-,강천산,1270,강천산다리,문화자원,계곡을 가로지르는 현수교,228.5,35.396343,127.053238
6,2607102300,-,강천산,1284,신선봉,문화자원,팔각정,396.7,35.394157,127.055634
6,2607102300,-,강천산,1288,폭포앞 동상,문화자원,가족상,239.8,35.393387,127.046074
6,2607102300,-,강천산,1296,수좌굴,문화자원,수도승 전설,260.8,35.394283,127.047272
6,2607102300,-,강천산,1302,놀이터 및 동물 사육장,문화자원,사육장과 놀이터,196.6,35.405495,127.06234
7,2402020400,483100401,계룡산,1336,남매탑,문화자원,-,647,36.362717,127.213799
7,2402020400,483100401,계룡산,1653,상원암,문화자원,계룡산 동학사의 산내암자,0,36.362457,127.213562
7,2402020400,483100401,계룡산,1664,용문폭포 전망대,문화자원,-,268.742,36.36467,127.193008
7,2402020400,483100401,계룡산,1665,동학사 입구 문,문화자원,-,201,36.356503,127.231651
7,2402020400,483100401,계룡산,1666,문수암,문화자원,-,240,36.353889,127.22303
7,2402020400,483100401,계룡산,1667,관음암,문화자원,-,229,36.35384,127.223022
7,2402020400,483100401,계룡산,1668,길상암,문화자원,-,236,36.353344,127.222847
7,2402020400,483100401,계룡산,1669,동학사,문화자원,-,253,36.353062,127.220253
7,2402020400,483100401,계룡산,1671,동학사 사리탑,문화자원,-,244,36.353397,127.223068
7,2402020400,483100401,계룡산,1673,"동학삼사(숙모전,삼은각,동계사)",문화자원,-,250,36.353077,127.220589
7,2402020400,483100401,계룡산,1674,동학사 대웅전,문화자원,-,258,36.353043,127.220047
7,2402020400,483100401,계룡산,1676,계룡산 갑사,문화자원,-,152,36.36837,127.181488
7,2402020400,483100401,계룡산,1677,사천왕문,문화자원,-,184,36.366444,127.185249
7,2402020400,483100401,계룡산,1678,갑사 종탑,문화자원,-,201,36.365135,127.186996
7,2402020400,483100401,계룡산,1679,대성암,문화자원,-,226,36.364555,127.18943
7,2402020400,483100401,계룡산,1680,신원사,문화자원,-,138,36.334877,127.184578
7,2402020400,483100401,계룡산,1681,석탑,문화자원,-,142,36.334778,127.184692
7,2402020400,483100401,계룡산,1682,고왕암 가는길,문화자원,-,298,36.339546,127.194496
7,2402020400,483100401,계룡산,1683,등운암,문화자원,-,725,36.349575,127.1922
7,2402020400,483100401,계룡산,1684,금륭암,문화자원,-,722,36.349537,127.192116
7,2402020400,483100401,계룡산,1685,보광원,문화자원,-,223,36.337788,127.189163
7,2402020400,483100401,계룡산,1688,대웅전,문화자원,"전면 세칸, 측면 세칸이며 석가모니불을 주불로 모셨다. 사찰에서 중심을 이루는 건물이며 가장 중요한 곳으로 취급된다.",280.048,36.353142,127.220062
7,2402020400,483100401,계룡산,1690,갑사자연관찰로,문화자원,계절마다 다른 야생화의 모습을 관찰할 수 있도록 조성한 야생화단지,161.197,36.367321,127.183044
7,2402020400,483100401,계룡산,1691,갑사 공우탑,문화자원,"""1층 탑신에 누운 탑을 일으켜 세우니 사람들 방책에 우연히도 부합된다네. 세번씩이나 힘들었으니 그 공덕이 으뜸이라네""라고 새겨져 있다. 과거 갑사를 세울 때, 고생을 많이 했던 소를 기리는 탑이다. 본래 갑사 부속 암자에 있던 것을 이곳으로 옮겼다",199.918,36.364914,127.187088
7,2402020400,483100401,계룡산,1693,용문폭포,문화자원,계룡산의 대표 폭포중 하나,268.187,36.364658,127.192947
7,2402020400,483100401,계룡산,1694,신흥암,문화자원,"절 뒤편에 천진보탑이 있다. 탑 모양을 한 자연바위로 전설에 따르면 석가모니 부처가 열반한 후 인도의 아스카왕이 사리탑에서 부처의 사리 8곡 4두를 발견하여 세상에 나누어줄 때, 사천왕 가운데 비사문천왕을 계룡산에 보니니어 이 천연석탑 안에 사리를 넣었다고 한다",0,36.363148,127.199219
7,2402020400,483100401,계룡산,1695,갑사 석조약사여래입상,문화자원,충청남도 유형문화제 제50호로 중생의 병을 치료해 준다는 약사여래,220.195,36.364483,127.18808
7,2402020400,483100401,계룡산,1697,동학삼사,문화자원,숙모전. 삼은각. 동모전,246,36.353115,127.220383
7,2402020400,483100401,계룡산,1705,소림원,문화자원,대한불교 조계종,156,36.335922,127.186203
7,2402020400,483100401,계룡산,1707,공주 청량사지 칠층석탑,문화자원,보물 제1285호. 1층 기단에 세운 칠층석탑.,0,36.35334,127.219627
7,2402020400,483100401,계룡산,1708,동학사 승가대학,문화자원,비구니 스님 승가대학,254,36.353081,127.219116
7,2402020400,483100401,계룡산,1709,돌탑,문화자원,관음봉 진입로 길 왼쪽 위치,457,36.352993,127.207382
7,2402020400,483100401,계룡산,1711,갑사대웅전,문화자원,백제시대의 대웅전은 현재의 대적전 건물 부근에 있었다고 한다. 조선시대 정유재란 때 전국의 많은 사찰과 함께 왜군에 의해 파괴되어 새로 지어졌다. 국보 제298호인 삼신불괘불탱이 보관되어 있다.,0,36.365383,127.18763
7,2402020400,483100401,계룡산,1728,신원사 입구,문화자원,-,115,36.33353,127.182114
7,2402020400,483100401,계룡산,1733,관음사,문화자원,-,176,36.359695,127.239532
7,2402020400,483100401,계룡산,1749,비석,문화자원,젊은이들에게 부탁하는...,150.289,36.368717,127.180763
7,2402020400,483100401,계룡산,1770,괴목대신제,문화자원,"갑사의 창건과 역사를 같이 한 이 괴목은 임진왜란 때 영규대사와 800여명의 승병들이 모여 작전을 세우기도 한 호국불교를 상징하는 신수이다. 갑사의 스님들과 마을주민들이 괴목 주변을 정리하자, 마을에 돌았던 역병이 사라졌다는 전설이 있어 아직도 스님들과 주민들은",139.889,36.370533,127.17984
7,2402020400,483100401,계룡산,1797,동학계곡 신록,문화자원,-,229.061,36.356571,127.231804
8,2215064300,427206801,계방산,1831,물푸레나무,문화자원,-,1170.857,37.715153,128.444855
8,2215064300,427206801,계방산,1837,키작은 나무들,문화자원,-,1225.64,37.724842,128.450836
8,2215064300,427206801,계방산,1841,야광나무,문화자원,-,1526.275,37.730804,128.457397
8,2215064300,427206801,계방산,1847,산철쯕,문화자원,-,1138.092,37.704952,128.469116
8,2215064300,427206801,계방산,1859,참나무6형제,문화자원,구분방법이 있네요,1165.962,37.714569,128.44516
9,2216100300,427200401,공작산,1971,노천저수지,문화자원,지도상에는 공작저수지로 표기된 경우도 있음,332.656,37.691097,128.02597
9,2216100300,427200401,공작산,1983,천지사 입구(사찰),문화자원,천지사 표지석 주변에 주택 산재,265.922,37.722404,127.985916
9,2216100300,427200401,공작산,2053,동봉사산신각,문화자원,돌로 쌓아 건축한 산신각이 특이함,0,37.69828,127.976425
9,2216100300,427200401,공작산,2068,성지사,문화자원,정토종,195.925,37.730263,127.955132
9,2216100300,427200401,공작산,2069,동봉사 입구,문화자원,동봉사 입구부터 경내에 많은 돌탑이 세워져 있음,320.541,37.697208,127.977135
9,2216100300,427200401,공작산,2070,동봉사 대웅전,문화자원,대웅전,311.366,37.697987,127.976639
10,1105040200,116200201,관악산,2512,낙성대 안국문,문화자원,안국사로 들에가는 문,101.277,37.47121,126.95974
10,1105040200,116200201,관악산,2513,강감찬장군  전시관,문화자원,관람시간 10:00~18:00,100.383,37.471245,126.959869
10,1105040200,116200201,관악산,2536,강감찬장군 동상(기마상),문화자원,"귀주대첩의 신화를 만들어 거란의 침략을 막아낸 구국의 영웅. 고구려 을지문덕,조선의 이순신과 함께  나라를 구한  3대 영웅중 한명.",96.861,37.47134,126.959297
10,1105040200,116200201,관악산,2571,관악산 관음사 대웅전,문화자원,-,165.433,37.467297,126.977196
10,1105040200,116200201,관악산,2589,관악산 시도서실,문화자원,"5000여권의 다양한 시집이 비치되어 있어 쉽고 편하게 책을 읽을 수 있으며,시낭송을 들을 수 있고 시로 보내는 편지를 써서 옆에 있는 빨간  우체통에 넣을 수도 있다.",105.797,37.468369,126.94619
10,1105040200,116200201,관악산,2600,관악산 공원,문화자원,-,105.995,37.468365,126.946114
10,1105040200,116200201,관악산,2604,관악산 트리 전망대,문화자원,-,219.587,37.456551,126.933525
10,1105040200,116200201,관악산,2625,우면지구 근린공원,문화자원,-,53.269,37.473198,127.02919
10,1105040200,116200201,관악산,2705,관악산 관음사,문화자원,관음사 입구,131.678,37.468647,126.977943
10,1105040200,116200201,관악산,2710,호압사,문화자원,금천구 유일한 전통사찰,0,37.452583,126.925682
10,1105040200,116200201,관악산,2730,안국사,문화자원,강감찬장군 영정을 모신 사당,0,37.471046,126.960129
10,1105040200,116200201,관악산,2763,장승,문화자원,수호신 역할,90.373,37.463291,126.946953
10,1105040200,116200201,관악산,2765,둘레길 정승,문화자원,정승들이 둘레길을 안내 하고 있다.,131.652,37.463352,126.94693
10,1105040200,116200201,관악산,2766,삼성산 보덕사,문화자원,보덕사 입구,236.3,37.459957,126.93885
10,1105040200,116200201,관악산,2767,삼성산 성지,문화자원,천주교 서울순례길중 마지막 삼성산 성지는1839년기해박해때 순교한 프랑스신부 세분의 유해가 모셔져 있다.,245.457,37.455303,126.928841
10,1105040200,116200201,관악산,2770,잣나무 산림욕장,문화자원,-,237.553,37.450191,126.922829
10,1105040200,116200201,관악산,2771,시흥계곡 안내,문화자원,-,222.752,37.443398,126.917282
10,1105040200,116200201,관악산,2772,인헌공 강감찬길,문화자원,-,198.474,37.46627,126.964432
10,1105040200,116200201,관악산,2773,트리전망 하우스,문화자원,-,162.097,37.469631,126.962601
10,1105040200,116200201,관악산,2775,관악산자연학습장,문화자원,-,0,37.414265,126.957527
10,1105040200,116200201,관악산,2777,석지묘,문화자원,이선평지묘,129.015,37.42625,126.976883
10,1105040200,116200201,관악산,2778,과천향교,문화자원,날머리,86.604,37.433388,126.987846
10,1105040200,116200201,관악산,2779,안양사,문화자원,-,0,37.422009,126.923386
10,1105040200,116200201,관악산,2780,과천야생화자연학습장,문화자원,"국가무형문화재 제58호 줄타기, 줄타기전수 교육장",0,37.420929,126.971291
10,1105040200,116200201,관악산,2781,용운암 마애승용군,문화자원,스님 5분의 얼굴이 새겨짐,0,37.425594,126.976212
10,1105040200,116200201,관악산,2792,연주암,문화자원,-,543.345,37.441643,126.965492
10,1105040200,116200201,관악산,2820,호암산성 남측,문화자원,남측추정문지,321.06,37.441441,126.919708
10,1105040200,116200201,관악산,2825,석약사불좌상,문화자원,"약사여래, 서울시 문화재자료 제8호, 호압사 약사전",0,37.452564,126.925377
10,1105040200,116200201,관악산,2916,우면산 성뒤골 고개,문화자원,우면산자락의 성뒤마을로 가는 고개로 이곳에 성이 있어 부자가 많이 살았지만 도둑들이 활개쳐 모두 이주한후 도둑골이라 불려졌다 함.,139.36,37.469563,126.992882
10,1105040200,116200201,관악산,3023,불성사,문화자원,작은 사찰,451.785,37.43206,126.960426
10,1105040200,116200201,관악산,3032,보덕사,문화자원,비봉산 보덕사,0,37.411236,126.931427
10,1105040200,116200201,관악산,3083,관악산 연주대,문화자원,정상부근 위치,653.472,37.444973,126.964516
10,1105040200,116200201,관악산,3345,호수공원,문화자원,호수공원,140.967,37.457916,126.947357
10,1105040200,116200201,관악산,3346,관악수목원,문화자원,서울대학교 농업생명과학대학,110.901,37.419456,126.936523
10,1105040200,116200201,관악산,3354,자운암국기대,문화자원,관악산11국기대중,517.283,37.446999,126.960098
10,1105040200,116200201,관악산,3394,반월암,문화자원,암자,410.316,37.435844,126.937645
10,1105040200,116200201,관악산,3418,망해암,문화자원,관악산 미륵도량,0,37.41161,126.926208
10,1105040200,116200201,관악산,3432,kbs 기지국,문화자원,-,603.397,37.43988,126.964088
10,1105040200,116200201,관악산,3463,연주대,문화자원,연주대,621.04,37.444923,126.964653
10,1105040200,116200201,관악산,3480,효령대군 영정,문화자원,"효령대군 초상화, 현재 출입은 금지",564.734,37.441902,126.96492
10,1105040200,116200201,관악산,3497,관악문,문화자원,돌지붕을 통과하는 문,573.146,37.446468,126.967743
10,1105040200,116200201,관악산,3539,호압사 전경,문화자원,산세가 호랑이 형국을 하고있어 과천과 한양에 호환이 많다는 점술가의 말을 듣고 산세를 누르기위해 1407년(태종7년) 왕명으로 창건함,293.916,37.452213,126.925652
10,1105040200,116200201,관악산,3551,기상관측소,문화자원,기상관측소,636.598,37.444897,126.964088
10,1105040200,116200201,관악산,3627,관악산 호수공원,문화자원,계곡과 연결된 호수공원,140.552,37.457962,126.947449
10,1105040200,116200201,관악산,3628,관악안 공원 나들이숲,문화자원,"장미원, 쉼터, 화장실, 동산, 자연학습장, 물놀이데크",121.246,37.460918,126.947884
10,1105040200,116200201,관악산,3656,관악산야외식물원,문화자원,장미원 식물원,99.948,37.460526,126.947762
10,1105040200,116200201,관악산,3670,무당골,문화자원,무속신앙,152.877,37.466934,126.9692
10,1105040200,116200201,관악산,3723,무속신앙 무당골,문화자원,비를 피할 수 있는 얇은굴에서 무속행위와 기도가 이루어졌다,191.942,37.466846,126.969238
10,1105040200,116200201,관악산,3728,금강사,문화자원,-,0,37.42593,126.917946
10,1105040200,116200201,관악산,3737,연현  어린이공원,문화자원,-,38.078,37.434132,126.901459
10,1105040200,116200201,관악산,3746,병목안 석탑,문화자원,-,133.028,37.383156,126.90844
10,1105040200,116200201,관악산,3755,안양유아숲체험원,문화자원,-,0,37.414608,126.965195
12,2805090900,277103701,금산,3875,단군성전,문화자원,-,0,34.752632,127.980476
12,2805090900,277103701,금산,3876,보리암,문화자원,"638년 원효대사가 초당을 짓고 수행하다 관음보살을 친견한 후 초당의 이름을 보광사라 칭한 것에서 시작되었다. 양양의?낙산사, 강화?석모도의?보문사와 함께 우리나라 3대 관음성지로 알려져 있는데, 관음보살에게 기도를 하면 한 가지 소원은 꼭 들어준다는 얘기가 전해",0,34.751781,127.982986
12,2805090900,277103701,금산,3877,해수관음상,문화자원,"양양의?낙산사, 강화?석모도의?보문사와 함께 우리나라 3대 관음성지로 알려져 있는데, 관음보살에게 기도를 하면 한 가지 소원은 꼭 들어준다는 얘기가 전해진다.?",639.592,34.751659,127.982864
12,2805090900,277103701,금산,3885,남해 양아리 석각,문화자원,일명‘서불과차(徐市過此)’라고 불리는데 지금까지 해독을 하지 못하여 내용은 알 수 없다. 전해오는 이야기로는 중국 진시황때 삼심산 불로초를 구하기 위해 방사 서불이 동남동녀 3천 명을 이끌고 동쪽으로 오던 중 이곳 금산을 찾아와서 사냥을 즐기다 떠나면서 자신들,254.618,34.749001,127.968781
12,2805090900,277103701,금산,3893,망대,문화자원,"금산 제1경, 금산 정상에 자리잡은 봉수대이다. 금산을 에워싼 만경창파를 한눈에 볼 수 있다. 이 봉수대는 고려 때부터 사용돼온 우리나라 최고 최남단 봉수대이다.",727.481,34.753803,127.982956
13,2307050900,438002601,금수산,3894,보문정사,문화자원,사찰,0,36.968594,128.239517
13,2307050900,438002601,금수산,4056,출렁다리,문화자원,-,606.098,36.994556,128.244873
13,2307050900,438002601,금수산,4057,산수유 마을,문화자원,-,322.921,36.962631,128.23819
13,2307050900,438002601,금수산,4060,화전민터,문화자원,-,326.581,36.991123,128.218704
13,2307050900,438002601,금수산,4061,솟대 문화공간,문화자원,-,174.351,36.981369,128.200745
13,2307050900,438002601,금수산,4062,산수유마을 약선장류체험장,문화자원,-,189.333,36.966595,128.233414
13,2307050900,438002601,금수산,4063,서낭당,문화자원,-,177.975,36.964592,128.230865
13,2307050900,438002601,금수산,4065,옥순대교,문화자원,-,172.245,36.948875,128.232193
13,2307050900,438002601,금수산,4066,탑,문화자원,-,178.67,36.988407,128.198975
13,2307050900,438002601,금수산,4067,정방사,문화자원,-,472.014,36.998978,128.207916
13,2307050900,438002601,금수산,4069,옥순봉,문화자원,-,200.898,36.948975,128.23288
13,2307050900,438002601,금수산,4089,주변 둘레길,문화자원,-,213.264,36.965183,128.239243
13,2307050900,438002601,금수산,4121,주변관광지,문화자원,-,236.041,36.964642,128.240158
13,2307050900,438002601,금수산,4144,이에스리조트,문화자원,-,193.89,36.987995,128.194138
13,2307050900,438002601,금수산,4169,금수산 한방 힐링 테마공원,문화자원,-,175.814,36.982098,128.199692
13,2307050900,438002601,금수산,4227,내원암,문화자원,유서깊거나 오래된절은 아니나 돌탑이 이쁨니다,185.384,36.986782,128.195328
